1-к. квартира, 32,2м², 17/18эт.;/stavropol/kvartiry/1-k._kvartira_322m_1718et._2360208358;2500000₽;ул. Тюльпановая, д. 12
1-к. квартира, 37,4м², 2/18эт.;/stavropol/kvartiry/1-k._kvartira_374m_218et._2360758057;2880000₽;ул. Тюльпановая, д. 12
1-к. квартира, 36м², 1/18эт.;/stavropol/kvartiry/1-k._kvartira_36m_118et._2328636735;2560000₽;ул. Тюльпановая, д. 12
1-к. квартира, 39,7м², 6/16эт.;/stavropol/kvartiry/1-k._kvartira_397m_616et._2249039062;2581000₽;ул. Южный Обход, д. 53Г
1-к. квартира, 31м², 16/18эт.;/stavropol/kvartiry/1-k._kvartira_31m_1618et._2200172733;2380000₽;ул. Тюльпановая, д. 12
1-к. квартира, 36,6м², 2/18эт.;/stavropol/kvartiry/1-k._kvartira_366m_218et._2200313833;2820000₽;ул. Тюльпановая, д. 12
1-к. квартира, 30,4м², 17/18эт.;/stavropol/kvartiry/1-k._kvartira_304m_1718et._2360260405;2380000₽;ул. Тюльпановая, д. 12
1-к. квартира, 36м², 11/25эт.;/stavropol/kvartiry/1-k._kvartira_36m_1125et._2232785643;2720000₽;ул. Тюльпановая, д. 12
1-к. квартира, 30,4м², 17/18эт.;/stavropol/kvartiry/1-k._kvartira_304m_1718et._2360260405;2380000₽;ул. Тюльпановая, д. 12
1-к. квартира, 32,2м², 17/18эт.;/stavropol/kvartiry/1-k._kvartira_322m_1718et._2360697339;2500000₽;ул. Тюльпановая, д. 12
1-к. квартира, 38м², 2/18эт.;/stavropol/kvartiry/1-k._kvartira_38m_218et._2200310731;2880000₽;ул. Тюльпановая, д. 12
1-к. квартира, 35,3м², 12/18эт.;/stavropol/kvartiry/1-k._kvartira_353m_1218et._2360836092;2720000₽;ул. Тюльпановая, д. 12
1-к. квартира, 32,2м², 17/18эт.;/stavropol/kvartiry/1-k._kvartira_322m_1718et._2360697339;2500000₽;ул. Тюльпановая, д. 12
1-к. квартира, 30м², 17/18эт.;/stavropol/kvartiry/1-k._kvartira_30m_1718et._2327951818;2380000₽;ул. Тюльпановая, д. 12
1-к. квартира, 37,4м², 2/18эт.;/stavropol/kvartiry/1-k._kvartira_374m_218et._2360758057;2880000₽;ул. Тюльпановая, д. 12
1-к. квартира, 35,3м², 12/18эт.;/stavropol/kvartiry/1-k._kvartira_353m_1218et._2360836092;2720000₽;ул. Тюльпановая, д. 12
1-к. квартира, 36,6м², 2/18эт.;/stavropol/kvartiry/1-k._kvartira_366m_218et._2200313833;2820000₽;ул. Тюльпановая, д. 12
1-к. квартира, 35,4м², 10/18эт.;/stavropol/kvartiry/1-k._kvartira_354m_1018et._2232649078;2720000₽;ул. Тюльпановая, д. 12
1-к. квартира, 35,3м², 12/18эт.;/stavropol/kvartiry/1-k._kvartira_353m_1218et._2360050710;2720000₽;ул. Тюльпановая, д. 12
1-к. квартира, 32,5м², 16/18эт.;/stavropol/kvartiry/1-k._kvartira_325m_1618et._2232432915;2500000₽;ул. Тюльпановая, д. 12
1-к. квартира, 30,8м², 15/18эт.;/stavropol/kvartiry/1-k._kvartira_308m_1518et._2200615569;2380000₽;ул. Тюльпановая, д. 12
1-к. квартира, 34м², 8/18эт.;/stavropol/kvartiry/1-k._kvartira_34m_818et._2066582939;3690000₽;ул. Тухачевского, д. 30/7
1-к. квартира, 39,4м², 15/23эт.;/stavropol/kvartiry/1-k._kvartira_394m_1523et._2319149887;3230000₽;пр-т Кулакова , д. 5/1
1-к. квартира, 32,3м², 10/18эт.;/stavropol/kvartiry/1-k._kvartira_323m_1018et._2264610907;2500000₽;ул. Тюльпановая, д. 12
1-к. квартира, 48м², 2/4эт.;/stavropol/kvartiry/1-k._kvartira_48m_24et._2360442620;3880000₽;ул. Алмазная, д. 20, корп. 3, блок-секция 1-5
1-к. квартира, 38м², 2/18эт.;/stavropol/kvartiry/1-k._kvartira_38m_218et._2200310731;2880000₽;ул. Тюльпановая, д. 12
